Estabelecimento,Complemento,Descricao,Endereço,Horario,Prato,Telefone
Garagge Vintage,,"Maminha cozida marinada no vinho tinto, servida com molho madeira, acompanhada de purê de abóbora moranga com bacon frito triturado e chips de massa de lasanha.","Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte – MG","Segunda, das 17h às 23h | Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 22h |",Bão Também,31999778888
Geraldin da Cida,,Alcatra com farofa de jiló com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.,"Rua Contria, 1459 | Grajaú, Belo Horizonte – MG","Terça, das 16h às 23h | Quarta, das 16h às 23h | Quinta, das 16h às 23h | Sexta, das 16h às 23h | Sábado, das 11h às 20h | Domingo, das 11h às 19h |","Sô mineiro, uai!",(31) 998322265
Golden Grill,,"Costelão de boi marinado em ervas finas acompanhado de purê de mandioca aligot, farofa crocante e molho agridoce especial.","Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte – MG","Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 11h à 0h | Domingo, das 11h à 0h |",Costelão dos Deuses,31998205528
Iracema Bar,,"Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida com especiarias. Servido com um molho agridoce e picante.","Rua Almandina, 56 | Santa Teresa, Belo Horizonte – MG","Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 19h |",Harumaki de Carne de Panela,31995320617
Ivo Grill,,"Kafta defumada na brasa harmonizada com sour cream, geleia de pimentas vermelhas e cebola em tiras crocantes.","Rua Professor Tristão da Cunha, 183 | Planalto, Belo Horizonte – MG","Terça, das 11h às 23h | Quarta, das 11h às 23h | Quinta, das 11h às 23h | Sexta, das 11h às 23h | Sábado, das 11h às 23h | Domingo, das 11h às 18h |",Kafajeste,3130470171
Já To Inno,,"Kafta de lata, acompanhada de caponata de tomate com bacon e linguiça regados com angu à moda da casa gratinado com queijo.","Rua Benjamim Dias, 379 | Barreiro, Belo Horizonte – MG","Segunda, das 17h30 às 23h30 | Terça, das 17h30 às 23h30 | Quarta, das 17h30 às 23h30 | Quinta, das 17h30 às 23h30 | Sexta, das 17h30 às 23h30 | Sábado, das 12h às 23h |",Moderação,3133841198
Juzé Bar,Loja 5,"Carne cozida desfiada ao molho, servida na panhoca, acompanhada de macaxeira cozida na manteiga de garrafa ao alho e cebola caramelizada.","Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte – MG","Terça, das 16h à 0h | Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 16h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 22h |","Macaxeira no buraco quente, com sabor de quero+",31989025128
Köbes Emporium Bar,A,"Asas de porco com molho à moda da casa, sobre purê de batata com açafrão.","Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h30 | Sábado, das 12h às 23h | Domingo, das 12h às 18h |",Asas da Imaginação,3134676661
Koqueiros Bar,,"Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa.","Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h30 | Sábado, das 14h às 23h30 | Domingo, das 14h às 18h |","Duvidei, mas amei!",3125107025
Lá Ele Bar,169 Loja de esquina,"Maçã de peito cozida com legumes, acompanhada de farofa da casa, LAELEgrete e pão.","Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 21h |",Peitin Moído,31971321361
Leo da Quadra,,"Bisteca bovina, acompanhada de pirão e torradas.","Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte – MG","Terça, das 18h às 23h30 | Quarta, das 18h às 23h30 | Quinta, das 18h às 23h30 | Sexta, das 18h às 23h30 | Sábado, das 12h às 23h | Domingo, das 12h às 17h |",Lembe os beiço,31996739688
Locomotiva’s Bar,,"Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho.","Rua Carmésia, 568 | Santa Inês, Belo Horizonte – MG","Terça, das 16h às 23h | Quarta, das 16h às 23h | Quinta, das 16h às 23h | Sexta, das 16h às 23h | Sábado, das 12h às 21h | Domingo, das 12h às 19h |",CUPIM: Embriagado e trouxa,31991773039
Magnífico Quintal,,"Frango assado com molho, batata recheada e pepino agridoce.","Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h às 01h30 | Sábado, das 16h às 01h30 | Domingo, das 15h às 22h30 |",Cocoricó,31999882311
Magrelo’s Bar,,"Maçã de peito marinada em vinho tinto com ervas aromáticas, servida com polenta cremosa gratinada com queijo canastra e bolinhos de aipim, acompanhados de aioli de rúcula fresco.","Avenida Serrana, 635 | Serrano, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h à 0h | Sábado, das 17h à 0h | Domingo, das 15h às 21h |",Amigos do Peito,(31) 99838-8998(31) 3475-0113
Mamute Bar,,"Bife rolê recheado com cenoura e carne de linguiça acompanhado de batata sauté, couve crispy e farofa da vovó.","Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte – MG","Terça, das 17h às 22h | Quarta, das 17h às 22h | Quinta, das 17h às 22h | Sexta, das 17h às 22h | Sábado, das 12h às 22h | Domingo, das 12h às 18h |",C Tá de Parabéns!,(31) 98403-3247
Marina’s Bar,,"Asinha de frango frita, marinada na laranja e ervas, coberta de queijo muçarela, acompanhada com creme de alho-poró e gengibre picante e fritas.","Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte – MG","Terça, das 16h à 0h | Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 12h à 0h | Sábado, das 12h à 0h | Domingo, das 12h à 0h |",Estrem voa!,31996156963
Mineiros Beer,,"Costelinha suína assada lentamente, servida com molho de queijo canastra, barbecue de goiabada e farofa torrada.","Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte – MG","Segunda, das 11h às 16h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 17h à 0h | Domingo, das 11h às 16h | Terça, das 11h às 16h | Quarta, das 11h às 16h | Quinta, das 11h às 16h | Sexta, das 11h às 16h | Sábado, das 11h às 16h |",Costela de Romeu e Julieta,3121273503
Mulão,,"Chã de fora recheada com calabresa no molho de cebola caramelizada no açúcar queimado. Acompanha purê de batatas, pimenta-biquinho, cebolinha.","Rua Marambaia, 291 | Caiçara, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 11h à 0h |",Mullé,3134126505
Nosso Spetim,,"Língua ao molho madeira, com fatia de pães e um espetinho de medalhão de batata recheada com queijo minas acompanhado de geleia biquinho.","Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 18h à 0h |",Língua de Dois Amores,31987079188
O Fino do Alho,,"Carne de panela, temperada com especiarias, acompanhada de mandioca cozida no suco de beterraba e açafrão, finalizada com crispy de bacon e banana-da-terra.","Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 1h | Sexta, das 17h à 1h | Sábado, das 17h à 1h | Domingo, das 17h à 0h |",SôdaTerra,31988275391
Oratório Bar,,"Costelinha de porco assada, finalizada com molho barbecue e guarnecida em cama de farofa crocante, acompanhada de uma maçã caramelizada.","Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 12h à 0h |",Costela de Adão,3132417112
Parada 10.95 Bar,,Uma adaptação do tradicional prato belgo-holandês carbonnade flamande. Carne bovina marinada na cerveja e cozida lentamente. Acompanha purê de mandioca e batata crocante.,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte – MG","Segunda, das 11h30 às 14h30 | Terça, das 11h30 às 23h | Quarta, das 11h30 às 23h | Quinta, das 11h30 às 23h | Sexta, das 11h30 às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 20h |",Parada Holandesa,31997001095
Parada do Sabor,Loja A,"Coração de boi recheado com: bacon, linguiça, cenoura. Acompanha farofa, batata bolinha assada e molho glace.","Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte – MG","Segunda, das 12h às 23h | Quarta, das 12h às 23h | Quinta, das 12h às 23h | Sexta, das 12h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 20h |",Coração do Parada,31988995343
Pé de Cana,,"Bolo suíno recheado de queijo, acompanhado de molho de tomate, cobertura de muçarela e “confetes” de tomate, batatinha e cebola assadas.","Rua Flórida, 15 | Sion, Belo Horizonte – MG","Segunda, das 11h à 0h | Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 18h |",É PRAAATA!!!É PRAAAATA!!,3132212099
Pé de Goiaba,"ou Rua Castro Alves, 195","Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho à pururuca e couve.","Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 12h às 22h |",Bodas de Prata – 25 ANOS JUNTOS,(31) 3347-9425
Planeta Lúpulo,,"Cestinhas de massa crocante recheadas com aligot de batata e queijo e fraldinha cozida na cerveja stout. Acompanhadas com biscoitos de queijo, farofa de bacon e couve crispy.","Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 13h à 1h | Domingo, das 13h à 0h |",Cestinha das Gerais,3136461088
PoiZé Bar e Petisqueira,"Loja 2, 3, 4 e 5",Versão desconstruída do escondidinho. Creme de moranga com carne do sertão e cebola. Acompanha molho de cebola roxa.,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte – MG",Terça de 17:00:00 à 00:00:00 | Quarta de 17:00:00 à 00:00:00 | Quinta de 17:00:00 à 00:00:00 | Sexta de 17:00:00 à 00:00:00 | Sabado de 12:00:00 à 00:00:00 | Domingo de 12:00:00 à 18:00:00 |,Aparecidinho do Zé,31997760076
Prado Beer,,"Angu com carne de panela, chips de jiló e molho à base de milho e cachaça.","Avenida Francisco Sá, 590 | Prado, Belo Horizonte – MG","Segunda, das 12h à 0h | Terça, das 12h à 0h | Quarta, das 12h à 0h | Quinta, das 12h à 0h | Sexta, das 12h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 22h |",Amontadinho,(31) 2551-7794(31) 3267-4410
Prosa Boa,,"Costela bovina braseada, acompanhada de batatinhas temperadas, antepasto de azeitonas e tomatinhos e farofa crocante de bacon.","Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte – MG","Terça, das 18h30 às 23h30 | Quarta, das 18h30 às 23h30 | Quinta, das 18h30 às 23h30 | Sexta, das 18h30 às 23h30 | Sábado, das 11h30 às 23h30 | Domingo, das 11h30 às 20h |",Roendo até os ossos,(31) 3643-9840(31) 98528-4061
Quinteiro Bar e Restaurante,,"Massa de fubá com queijo, patinho desfiado com molho, tartar de tomate e cream cheese caseiro temperado.","Rua Salinas, 1008 | Floresta, Belo Horizonte – MG","Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 15h à 1h | Domingo, das 12h às 18h |",Vou comer seu bolo,31994705205
Quioxque Botequim Carioca,,Bolo de mandioca na manteiga de garrafa recheado com carne seca e cobertura de cebola caramelizada e glacê de fonduta de queijo,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte – MG","Segunda, das 11h30 à 0h | Terça, das 11h30 à 0h | Quarta, das 11h30 à 0h | Quinta, das 11h30 à 0h | Sexta, das 11h30 à 0h | Sábado, das 11h30 à 0h | Domingo, das 11h30 às 19h |",Estamos de Parabéns,31984778708
Quitandas da Tia Nice Bar,Loja 2,"Disco de carne recheada com provolone, acompanhado de molhos especiais da casa e cachaça artesanal.","Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG","Segunda, das 7h às 23h30 | Terça, das 7h às 23h30 | Quarta, das 7h às 23h30 | Quinta, das 7h às 23h30 | Sexta, das 7h às 23h30 | Sábado, das 7h às 23h30 |",QUÊ SÉ QUÉ!,3198240120
Rancho do Manoel,,Maçã de peito acompanhada de purê de moranga e farofa da casa.,"Rua Isabel Bueno, 1100 | Jaraguá, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 11h às 23h | Domingo, das 11h às 23h |",Trem Bão Sô!,3134277666
Recanto Vovó Tela,,"Picanha suína assada, marinada em limão pepper e páprica picante, acompanhada de minicebola empanada, farofa de ervilha e chutney de abacaxi com pimenta-dedo-de-moça.","Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte – MG","Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 18h à 1h | Domingo, das 18h à 0h |",DE “25” 10 TMJ,31985099625
Regis Bar,,Costelinha ao molho de abacaxi com mandioca e cebola.,"Avenida Vinte e Oito de Setembro, 872 | Esplanada, Belo Horizonte – MG","Terça, das 16h à 0h | Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 16h à 0h | Sábado, das 10h às 21h | Domingo, das 10h às 21h |",Trio parada dura,31987862438
Rei do Peixe,,"Bolinho de tilápia recheado com tilápia e queijo, acompanhado com molho verde e geleia de pimenta.","Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte – MG","Terça, das 17h às 23h30 | Quarta, das 17h às 23h30 | Quinta, das 17h às 23h30 | Sexta, das 17h à 0h | Sábado, das 13h à 0h | Domingo, das 13h às 22h |",Bolinhos Bodas de Prata,31972669782
Resenha da Naty,,"Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.","Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 18h às 23h |",Trem Bão Demais Sô,31999284873
Restaurante Jorge Americano,Loja 150 – Mercado Central,"Rabada ensopada, servido com batata bolinha. Acompanhada de farofa de torresmo e vinagrete de agrião.","Avenida Augusto de Lima, 744 | Centro, Belo Horizonte – MG","Segunda, das 11h30 às 17h30 | Terça, das 11h30 às 17h30 | Quarta, das 11h30 às 17h30 | Quinta, das 11h30 às 17h30 | Sexta, das 11h30 às 17h30 | Sábado, das 11h30 às 17h30 | Domingo, das 11h às 13h",Rabada do Jorge Americano,31988220298
S.O.S PUB,,"Enroladinho de sururu com batata, enroladinho de lombo de porco com abacaxi cozido, enroladinho de feijoada e um miniempadão de frango e pernil com linguiça molhadinho. Todos acompanhados pelo molho especial da casa.","Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte – MG","Segunda, das 17h à 1h | Terça, das 17h à 1h | Quarta, das 17h à 1h | Quinta, das 17h à 1h | Sexta, das 17h à 1h | Sábado, das 17h à 1h | Domingo, das 17h à 1h |",Socorro do Mineiro,31992950703
Santa Boemia,Loja 5,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça.","Rua Mármore, 534 | Santa Tereza, Belo Horizonte – MG","Quarta, das 17h à 1h | Quinta, das 17h à 1h | Sexta, das 17h à 1h | Sábado, das 11h à 1h | Domingo, das 11h às 22h |",Sextou BB!,(31) 99132-2623
Santuário Retrô,,"Trouxinhas de lombo suculento, marinado por 12 horas no tempero da casa com especiarias, envolto em fatias de bacon e recheado com surpresas inspiradas nos ingredientes das edições históricas do Comida di Buteco.","Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 11h às 23h | Domingo, das 11h às 19h |",Presentim Retrô,31992084950
Seu Braz,2º andar,"Contrafilé flambado na cachaça ao creme, acompanhado de mandioca na manteiga de garrafa com queijo gratinado e bacon crocante.","Avenida Portugal, 4325 | Itapoã, Belo Horizonte – MG","Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 17h à 0h | Domingo, das 17h à 0h |",Contrafilé flambado na cachaça,31987807518
Silvio’s Bar,,"Coxinha da asa de frango empanada, acompanha batata rústica e molho parmesão e ervas.","Rua Begônia, 199 | Esplanada, Belo Horizonte – MG","Segunda, das 17h às 23h | Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 12h às 23h |",Frangônia,3133183273
Sinhá Erozitha Bistrôteco,,Panturrilha suína no seu molho com legumes grelhados.,"Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte – MG","Terça, das 19h à 0h | Quarta, das 19h à 0h | Quinta, das 19h à 0h | Sexta, das 19h à 0h | Sábado, das 14h à 0h |","Êêêê, lasqueira!!!",31998862655
Sô Bar,Lojas 2 e 3,"Maçã de peito com batatas cozidas, farofa de torresmo e espetinho de torresmo de barriga com pimenta agridoce.","Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte – MG","Segunda, das 11h às 23h | Terça, das 11h às 23h | Quarta, das 11h às 23h | Quinta, das 11h às 23h | Sexta, das 11h às 23h | Sábado, das 11h às 23h |",Sô o Mio,31992797084
Spetim,,"Língua de boi, fatiada bem fininha, num encorpado molho de tomate e manjericão, acompanhada por um mineiríssimo angu de moinho d’água e mostarda passadinha na panela.","Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte – MG","Segunda, das 11h às 23h30 | Terça, das 11h às 23h30 | Quarta, das 11h às 23h30 | Quinta, das 11h às 23h30 | Sexta, das 11h às 23h30 | Sábado, das 11h à 0h | Domingo, das 11h às 23h30 |",Tá na boca do povo,3134821232
Tanganica Art Bar,Entrada pela garagem,"Kibes de beterraba recheados com requeijão vegano, fuxicos de inhame com alho poró, pasteizinhos com recheio de chimeji preto e croquetinhos de abóbora vermelha recheados com ora-pro-nóbis.","Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte – MG","Quarta, das 11h30 às 13h30 e das 18h às 22h30 | Quinta, das 11h30 às 13h30 e das 18h às 22h30 | Sexta, das 11h30 às 13h30 e das 18h às 22h30 | Sábado, das 11h30 às 13h30 e das 18h às 22h30 | Domingo, das 11h30 às 13h30 e das 18h às 22h30 |",Vegano colorido,31992112697
The Butcher,,"Versão do goulash, prato típico húngaro, mas com toque mineiro. Carne ensopada com fatias de pão.","Avenida Ressaca, 353 | Coração Eucarístico, Belo Horizonte – MG","Segunda, das 12h às 15h | Terça, das 12h às 15h e das 17h às 23h | Quarta, das 12h às 15h e das 17h às 23h | Quinta, das 12h às 15h e das 17h às 23h | Sexta, das 12h às 15h e das 17h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 17h |",Panela de Prata – 25 anos,3125145119
Toca do Ogro,,Picolé Mineiro – Costelinha suína com pele e osso. Acompanhada de purê de mandioca e crispy de couve.,"Rua Professor Nelson de Sena, 4 | Pampulha, Belo Horizonte – MG","Segunda, das 17h30 às 22h30 | Terça, das 17h30 às 22h30 | Quarta, das 17h30 às 22h30 | Quinta, das 17h30 às 22h30 | Sexta, das 17h30 às 23h | Sábado, das 12h às 23h |",Ripa de Prata,3136653838
Toninho – Alto Forno,,"Joelho de porco ao molho da Lili, acompanhado de polenta com queijo frita e farofa de Neston.","Rua Miracema, 100 | Santo André, Belo Horizonte – MG","Terça, das 18h às 1h30 | Quarta, das 18h às 01h30 | Quinta, das 18h às 1h30 | Sexta, das 18h às 1h30 | Sábado, das 18h às 1h30 | Domingo, das 18h às 0h30 |",Joelho da Lili,3136544064
Tropeiro do Lisboa,,"Filé-mignon selado, acompanhado de batatas rústicas ao molho da casa.","Avenida Leontino Francisco Alves, 506 | Serra Verde (Venda Nova), Belo Horizonte – MG","Domingo, das 11h à 0h | Segunda, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h |",Caldeirão do Mignon,3134555027
Us Motoca,,"Polpetas de carne recheadas com queijo, servido sobre aligot de batata e molho de tomates rústico, gratinado e guarnecido de crispy de jiló e picles de cebola-roxa.","Rua Blenda, 91 | Camargos, Belo Horizonte – MG","Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 18h à 0h | Domingo, das 11h30 às 15h |",Bodas de Prata,31985444031
Xambar,"Edifício Maleta, 2º Andar, Lojas 7 e 10","Miolo de acém assado na pressão, acompanhado de mandioca cozida na manteiga e farofa de banana da terra","Avenida Augusto de Lima, 233 | Centro, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 17h à 0h |",Mineirin Oriental,31994108635
Xico da Kafua,,"Mão suína, acompanhada de farofa crocante de soja tostada com farinha de biju e torradas com azeite.","Avenida Itaú, 1195 – Loja A | João Pinheiro, Belo Horizonte – MG","Segunda, das 11h30 às 16h30 | Terça, das 11h30 às 16h30 | Quarta, das 11h30 às 22h | Quinta, das 11h30 às 22h | Sexta, das 11h30 às 22h | Sábado, das 11h30 às 22h | Domingo, das 11h30 às 16h30 |",Pé na areia,3133752640
Xico do Churrasco,,Asinhas de frango com provolone com tempero.,"Av Altamiro avelino Soares 920 – Castelo, Belo Horizonte – MG",Segunda à sexta de 17h à 0h | Sabado de 12h à 0h,Xico Balaio,31993643195
Zé Bolacha,,"Bolinho de costelinha desfiada com requeijão e muçarela, empanada no panko com molho de laranja e mel.","Rua das Melancias, 35 | Vila Cloris, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 1h | Sábado, das 18h à 1h |",Rabicó,3134541052
Zoo Bar,,"Canjiquinha à moda da vovó, acompanhada de costelinha de porco e vinagrete de pimenta.","Avenida Otacílio Negrão de Lima, 7844 | Pampulha, Belo Horizonte – MG","Terça, das 11h às 16h | Quarta, das 11h às 16h | Quinta, das 12h às 22h | Sexta, das 12h às 22h | Sábado, das 13h às 22h | Domingo, das 12h às 17h |",Canjiquinha da Vovó,(31) 3491-7455(31) 99175-6225
